token,label
najis,human
na,human
ankit mishra,human
trinessa,medicine
rehmat ali,human
khusaboo,human
himanshu,human
satish sindhi,human
fluoridex,medicine
mohd. imran,human
sanjeev s/o,human
lekhraj,human
bhani ram,human
arman,human
bholu ram,human
pennyroyal,medicine
saroj,human
shishram yadav,human
bactroban,medicine
sunder lal,human
mukesh chaudhary,human
dev nanden choudhary,human
bahrat panday,human
keval thakur,human
surendra,human
annat singh s/o,human
sumit risidev,human
shubham thapa,human
triptorelin,medicine
gordhan das,human
patan dev mehto,human
braham singh urf virmanand,human
rajat tyagi,human
integra,medicine
sanoj kumar,human
hasibul khan,human
yogendra pal,human
subash rai,human
shah ali,human
ram sanjeevan,human
rajnesh kumar,human
avandamet,medicine
flumist quadrivalent,medicine
tufel,human
shelendra,human
diastat,medicine
"conjunctivitis, bacterial",diagnosis
babu lal sharma,human
ct. dilbag singh,human
om beer singh,human
jalil,human
shyam chirag,human
aavesh kumar,human
kuldeep kumar,human
lilu,human
oxycodone,medicine
arjun yadav,human
satya narayan bacchan,human
vipan kumar,human
neeraj,human
gautam  mandal,human
harmani,human
codeine / guaifenesin / pseudoephedrine,medicine
samir hasan,human
harshit,human
abdul sattar resi,human
moh. ali,human
rhinorrhea,diagnosis
ayub khan,human
mahipal,human
manak paramik,human
satya prakash bansal,human
zen shoulde,diagnosis
ram naywaj singh,human
abhash lochan jha,human
ruben sunwak,human
suminder,human
dhramender singh,human
devender yadav s/o vishav nath yadav,human
niyaaz khan,human
vikesh kumar,human
rajinder  s/o hawa singh jat r/o shamlo kalan,human
emetrol,medicine
surender singh,human
vivek gupta,human
humira,medicine
deep vein thrombosis prophylaxis after hip replacement surgery,diagnosis
kalyan,human
geesa kha,human
arun,human
primary nocturnal enuresis,diagnosis
zyrtec-d 12 hour,medicine
manmohan khurana,human
iqbal masin hans,human
gur charan singh,human
chandra dhar pande,human
fluticasone,medicine
iron polysaccharide,medicine
rohthash,human
ravi dutt,human
belviq,medicine
yogender kumar gupta,human
bharat damor,human
zahid kuraisi,human
ram swroop,human
infumorph,medicine
vitamin b12 deficiency,diagnosis
rohit beeryani,human
gaurav sethi,human
viriya kher,human
rampal alis ram lal,human
mushir,human
pankaj mishra,human
sarfaraj,human
natroba,medicine
farid khan,human
sugai vishwas,human
randeep,human
veeri singh jatav,human
aakash,human
shohan singh soni,human
rustam shah,human
nonoccupational exposure,diagnosis
tyvaso,medicine
gaurav chhabra,human
angioedema,diagnosis
vinay kumar jain,human
chand mohammad,human
desvenlafaxine,medicine
dhalchand,human
ajit kapoor,human
abhishek kapor,human
bishun,human
gurubaksh,human
polytrim,medicine
detrol,medicine
puneet chawla,human
monistat 3-day combination pack,medicine
moh. raees,human
roop singh,human
shivam arora,human
ram baran,human
cefdinir,medicine
colchicine,medicine
jyoti swroop,human
karan chauhan,human
Rekha Kulkami,human
chanchal,human
smt sunita,human
suraj panday,human
zonegran,medicine
mohd javedh,human
om prakash tyagi,human
desoxyn,medicine
vijender singh rawat,human
vytorin,medicine
brimonidine,medicine
khimanand,human
vinit,human
methylprednisolone,medicine
menthol / zinc oxide,medicine
dharmender kashyap,human
akaash singh,human
dayal singh b,human
meghashayam  sharma,human
bobby,human
toquir ali,human
paroxetine,medicine
trelstar la,medicine
monodox,medicine
lutera,medicine
stalevo 200,medicine
rajnish dev,human
furkan,human
ram varaksh chaoudhary,human
lokesh varma,human
ravi kumar s/o ajay kumar,human
insulin resistance syndrome,diagnosis
manish kapoor,human
phentride,medicine
pemoline,medicine
climara pro,medicine
avdesh kumar yadav,human
rajbir ahlawat,human
suresh thakur,human
panic disorde,diagnosis
anubhav,human
hypoestrogenism,diagnosis
kapidex,medicine
evolocumab,medicine
jang bahadur,human
yogesh chahar,human
raspberry,medicine
ajit singh,human
azaz,human
spinosad,medicine
Shama,human
sotalol,medicine
mahender singh negi,human
zoster vaccine live,medicine
ghanshyam,human
mehak singh,human
"soban singh rawat,",human
keratoconjunctivitis sicca,diagnosis
manisha devi,human
brethine,medicine
lalit,human
moterol),diagnosis
mukhtar,human
ram nichatar,human
solarcaine burn relief,medicine
ditropan,medicine
gantantra mittal,human
juvel,human
perdeep,human
kirodimal,human
bijender,human
bayer children's aspirin,medicine
sivam,human
bhagwan das,human
dasatinib,medicine
frova,medicine
sanjiv kumar,human
ciprofloxacin,medicine
tavaborole,medicine
parmod kamat,human
mahender pal,human
bachu kak,human
zanamivir,medicine
simeprevir,medicine
oxazepam,medicine
praveen,human
mukeemuddin,human
mohd nihal,human
Vilas Pawar,human
dilip kumar,human
kheem singh,human
mohammad nasim,human
rizwan,human
aman,human
gender dysphoria,diagnosis
hydrocephalus,diagnosis
vinod kumar jain,human
midamor,medicine
gajender singh,human
varicose veins,diagnosis
F/51years,human
devid rana singh,human
sandeep dubey,human
sitar singh,human
ashok bairwa,human
fateh singh,human
diarrhea,diagnosis
jainab,human
temovate,medicine
efinaconazole,medicine
chetna,human
ish sethi,human
hyperuricemia secondary to chemotherapy,diagnosis
propranolol,medicine
dantrium,medicine
niacinamide,medicine
ram nath yadav,human
cabergoline,medicine
35</span> users found this comment helpful.,diagnosis
amit bansal,human
ram dutt,human
badri prasad,human
arvind mali,human
satender dass,human
varun jangra,human
mance anxiety,diagnosis
rakesh tabiyaad,human
tulcharam,human
mehboob alam,human
ephedrine / guaifenesin,medicine
nand lal bansal,human
aditya som,human
malignant glioma,diagnosis
parmeshwar das,human
shri pal,human
Knee+ Shoulder pain,complaints
Parveen Bagban,human
ram ashre,human
bablu mishra,human
prem kishore,human
sandeep yadav,human
hanish khan,human
ranjit,human
muscle spasm,diagnosis
prashant lakhera,human
babudden kuresi,human
tranylcypromine,medicine
shatish kumar,human
16</span> users found this comment helpful.,diagnosis
vospire er,medicine
colesevelam,medicine
endometriosis,diagnosis
micardis,medicine
s/o saroj (father name rakesh),human
varubi,medicine
ram deeta mehto,human
benzoyl peroxide / sulfur,medicine
sunny goyal,human
lokender singh,human
abhisek sharma,human
prafhool pandey,human
anil kumar yadav,human
maha dev sharma,human
sankar gupta,human
pravindra singh,human
cortisone,medicine
omacor,medicine
ganesh yadav,human
mycophenolate mofetil,medicine
tufail ahamd,human
hydromet,medicine
balsam peru / castor oil / trypsin,medicine
psoriasin,medicine
shivcharan,human
losartan,medicine
razi,human
mukund upadhyay,human
vikas parshad,human
chandan tivari,human
moh irfan,human
vikram singh,human
yashpal,human
uday lal,human
ram prashad,human
jalwad hushen,human
ropivacaine,medicine
sumit parkash,human
carbidopa / entacapone / levodopa,medicine
veeru,human
subham madhwal,human
rajesh gupta,human
fluvoxamine,medicine
naresh chaudhary,human
ankur kumar,human
anurag mishra,human
iqubal,human
rishaw,human
om pal,human
kenalog,medicine
gouri shankar,human
varun mandal,human
F/45years,human
rup lal,human
sachin gupta,human
narhasi dass,human
jeevan suyal,human
tikaram,human
surat singh,human
supprelin la,medicine
sameem,human
simran malhotra,human
mydayis,medicine
divaie chand,human
diphenhydramine,medicine
ethinyl estradiol / norgestrel,medicine
robaxin-750,medicine
sensorcaine-mpf,medicine
prince,human
arvind kiran,human
nashim,human
taclonex,medicine
vinit katariya,human
dhmendar,human
jasvant,human
harvans,human
kamla pardad,human
sona lal,human
95</span> users found this comment helpful.,diagnosis
bhud ram,human
prozac weekly,medicine
jagdish lal,human
opiate adjunct,diagnosis
ankit paswan,human
body dysmorphic disorde,diagnosis
surendera saini,human
ganga bhagat,human
vincristine,medicine
firoz khan,human
abdul vahid,human
aasif,human
abdul hakim,human
symbyax,medicine
dheeraj kumar,human
horse chestnut,medicine
erlotinib,medicine
cilostazol,medicine
budhram,human
sedarath,human
bhajanlal,human
provida dha,medicine
vesicare,medicine
kamlesh kumar,human
tilk raj,human
antiphospholipid syndrome,diagnosis
chandpreet,human
tahir hussain,human
ratwari chaudhary,human
reese's pinworm medicine,medicine
back pain,diagnosis
sanjay singh,human
bhikhari,human
ravi,human
prevacid,medicine
manoj patra,human
gopal sharma,human
acticlate,medicine
vestura,medicine
ratneswar mishra,human
chander shaker,human
macugen,medicine
revndrshing,human
acetic acid / antipyrine / benzocaine / polycosanol,medicine
santosh kumar sukala,human
deelip verma,human
amit prasar,human
satya parkash,human
uma shankar,human
manoj  kumar age-24 & satesh  kumar age 18,human
hyperphosphatemia of renal failure,diagnosis
sumer,human
ritalin-sr,medicine
adderall xr,medicine
hiramani,human
pardeep saini,human
ex-lax maximum relief formula,medicine
Ankle sprain,complaints
nystop,medicine
yesh,human
ajaypal,human
mohd. nafish,human
vimukt,human
harishchandr,human
pramipexole,medicine
gopi nath  haldhar,human
jolessa,medicine
jaquir,human
reversal of opioid sedation,diagnosis
karan gulyani,human
bittoo sahani,human
cipro,medicine
vinay kasyap,human
harpreet singh,human
ram sunder,human
mohd. almas,human
muse,medicine
tegretol xr,medicine
regadenoson,medicine
abhi,human
pavnesh,human
samir,human
bepotastine,medicine
vikram jha,human
uday partap,human
rudmal,human
kanwar pal,human
gulab singh,human
brijpal pal,human
guanfacine,medicine
gul mohd,human
ramdin,human
saheb raza,human
laxman singh,human
chlophedianol / guaifenesin / pseudoephedrine,medicine
youraj,human
dibakar rout,human
trastuzumab,medicine
raisingh,human
acetaminophen / hydrocodone,medicine
mohd. aklim,human
gyanu kumar,human
raseel,human
pervinder,human
lubiprostone,medicine
head lice,diagnosis
kumar pal,human
raj  kohli,human
joginder singh,human
madhan singh,human
devendra singh,human
angan singh,human
md. anus,human
ram babu,human
rexulti,medicine
harpal kishan,human
faran,human
devkran,human
gordhanlal,human
shaikh ajamat,human
pradeep shah,human
vitamin c,medicine
vipul vats,human
aoosaf,human
sahi ram,human
harkesh,human
amit pal,human
josin jomon,human
satish chander jha,human
chandermani,human
diclegis,medicine
adcirca,medicine
elbasvir / grazoprevir,medicine
cough and nasal congestion,diagnosis
dermazinc shampoo,medicine
depakote,medicine
chandra pal,human
fostex medicated,medicine
xyzal,medicine
ibu,medicine
lichen sclerosus,diagnosis
nasonex,medicine
h.p. acthar gel,medicine
ranjan,human
ezetimibe,medicine
mometasone,medicine
mahak singh,human
dama  rajanna,human
bhonu,human
byetta,medicine
vishnu sharma,human
shan mohd.,human
moh an kumar,human
ran jeet singh,human
gabitril,medicine
suvorexant,medicine
rohit jain,human
mho. majid,human
aditya kasana,human
aakib javed,human
mohamad abdul matin,human
deepak prasad,human
jasveen,human
karan sabharwal,human
pemphigoid,diagnosis
intraocular hypertension,diagnosis
bismuth subsalicylate,medicine
sipuleucel-t,medicine
clocortolone,medicine
budesonide,medicine
virender,human
satyender,human
deepa ram,human
hydrocortisone / neomycin / polymyxin b,medicine
bosulif,medicine
ocular lubricant,medicine
aas mohammad,human
shanawaz,human
abdul hafiz,human
virendra  singh,human
gangadhar,human
acetazolamide,medicine
attar,human
bansilal,human
zovia 1 / 35,medicine
sonu kumar,human
bumetanide,medicine
pupillary dilation,diagnosis
traveler's diarrhea,diagnosis
schistosoma japonicum,diagnosis
empagliflozin / metformin,medicine
shyam bihari,human
mohan pandey,human
shahid ahmad,human
sarik,human
vishal raghav,human
aagand,human
sanjeev rai,human
shayam lal,human
kushal,human
chlorpheniramine / methscopolamine / pseudoephedrine,medicine
post-cholecystectomy diarrhea,diagnosis
lysteda,medicine
satpal morya,human
tapish  chorasiya,human
akshay pahwa,human
chiddu ram,human
islamuddin,human
prevention of osteoporosis,diagnosis
levofloxacin,medicine
levaquin,medicine
sumer malik,human
radiaplexrx,medicine
mohan swaroop,human
ddavp nasal,medicine
actos,medicine
siddharth,human
sumnesh,human
abbas,human
shibu,human
brijesh kumar,human
minivelle,medicine
lakhwinder sharma,human
manit kumar,human
somatoform pain disorde,diagnosis
manjit,human
mahadev parshad,human
sunil kuamr jain,human
tarun kumar,human
mohammad humayoun,human
femtrace,medicine
2</span> users found this comment helpful.,diagnosis
brodalumab,medicine
phenobarbital,medicine
coronary artery disease,diagnosis
kapil jhakhar,human
jitendra kumar khant,human
toradol,medicine
ranitidine,medicine
erectile dysfunction,diagnosis
plecanatide,medicine
shri ram parkash,human
rahish,human
liothyronine,medicine
tanveer malik,human
warts,diagnosis
keshri chand,human
bawan yadav,human
shri kumar,human
manish kumar sharma,human
concerta,medicine
telaprevir,medicine
sanjeev sarkar,human
supriyal sen,human
kapil bhatia,human
mandu ram,human
trihexyphenidyl,medicine
zile singh,human
divyansh with father,human
rajiv kumar,human
dolat ram,human
binja ram,human
codeine / guaifenesin,medicine
alefacept,medicine
sanjay kumar s/o,human
sahab ram,human
satendra singh,human
nsaid-induced ulcer prophylaxis,diagnosis
dolobid,medicine
raja rawat,human
atrial flutte,diagnosis
transverse myelitis,diagnosis
jalsingh,human
shispal,human
rajendar prasad,human
48</span> users found this comment helpful.,diagnosis
calan,medicine
79</span> users found this comment helpful.,diagnosis
raj pal,human
hyomax,medicine
estropipate,medicine
gaurav urf raheesh,human
krish,human
satya prakesh malani,human
errin,medicine
jardiance,medicine
raju garg,human
gorv sharma,human
Cervicodorsal sprain,complaints
munender bahuguna,human
kamal kishore,human
deepi,human
vansh goel,human
kishor,human
abdul jabhar,human
secondary hyperparathyroidism,diagnosis
radhyshyam,human
jai sharma,human
chander bhan yadav,human
banju,human
acute lymphoblastic leukemia,diagnosis
venkatswaran rama swamy,human
repu marwaha,human
narbir,human
raj dev singh,human
bleeding disorde,diagnosis
anwar ali,human
primlev,medicine
dietary supplementation,diagnosis
oligospermia,diagnosis
aspiration pneumonia,diagnosis
manoj khanduri,human
bimlesh,human
parvez,human
depakene,medicine
dinesh jain,human
laxmi kumar,human
tahir mohmaddi,human
nolvadex,medicine
harinarayan paliwal,human
kanhiya,human
afzal ali,human
x-viate,medicine
avdesh kumar,human
rima,human
pradeep agrawal,human
arindra,human
methadose,medicine
norpace,medicine
manohar vishnoi,human
keshav,human
unithroid,medicine
kailash chand jain,human
sanjeev dass,human
ashok jarwal,human
binge eating disorde,diagnosis
saurav,human
dong quai,medicine
rajesh mishra,human
vijay shing,human
sonu pandey,human
ramjani,human
munender pratap singh,human
dhananjay,human
benzonatate,medicine
basaglar,medicine
hypokalemic periodic paralysis,diagnosis
tysabri,medicine
tobradex,medicine
humalog kwikpen,medicine
sri-suraj negi,human
avdesh sharma,human
radionuclide myocardial perfusion study,diagnosis
santosh kumar dube,human
sonata,medicine
postherpetic neuralgia,diagnosis
malathion,medicine
selsun blue,medicine
lekose joseph,human
mohd kamaal,human
naim malik,human
copper,medicine
majunew,human
harun,human
pamelor,medicine
keratitis,diagnosis
auryxia,medicine
misri lal,human
parteek,human
hypercalcemia,diagnosis
palladone,medicine
bhupendar singh,human
pennsaid,medicine
mohd monish,human
phool chand,human
rupendra ubas,human
auranofin,medicine
kanwar saini,human
liyakat ali,human
sharad kumar,human
mandeep,human
cefuroxime,medicine
ajay kumar jain,human
shani,human
ved parkash shani,human
loratadine-d 24 hour,medicine
still's disease,diagnosis
rajesh paswan,human
badri ram,human
Postural LBP ,diagnosis
mohd mukeem,human
kamal  singh,human
duet dha,medicine
sri kant,human
brij raj,human
mosim,human
mohd. firdoesh,human
wazid husain,human
kulwinder singh,human
panchi lal,human
maxifed dm,medicine
xolair,medicine
kabir,human
campral,medicine
ranjeet s/o mohan paswan,human
heart attack,diagnosis
min),diagnosis
trivora,medicine
tohid,human
pardeep goyal,human
actoplus met,medicine
magnesium salicylate,medicine
harish ahuja,human
rahil,human
atovaquone,medicine
suresh chand,human
omprakash,human
vijay singh,human
devinder pal,human
pramod kumar,human
devesh kadyan,human
lateef khan,human
cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide,medicine
kailash singh adhikari,human
devinder chadda,human
moshad ali,human
octagam,medicine
naulesh,human
juvenile idiopathic arthritis,diagnosis
nanak prasad,human
Mr. Abhishek Kulkarni,human
mr. ram chandr sen,human
rajesh garg,human
amin kumar,human
ram sharan yadav,human
lorzone,medicine
doral,medicine
shri parkash,human
shyad furkahn hussain,human
oruvail,medicine
sh. amar singh,human
forshan anl,human
radhey shyam sachdeva,human
acetaminophen / pseudoephedrine,medicine
somnath batra,human
rahishudeen,human
revlimid,medicine
mantu kumar,human
deepak bhatt,human
jaiparkash agawal,human
artemether / lumefantrine,medicine
flanax pain reliever,medicine
slo-niacin,medicine
aman puri,human
punit gupta,human
taclonex scalp,medicine
pepcid,medicine
fenoprofen,medicine
ghanshyam kushwah,human
ramniwas,human
kantil lal,human
pavan,human
mohd. fazil,human
risperdal,medicine
aditya,human
ranjan singh rai,human
vijay kumar raghav,human
insulin degludec,medicine
ibrahim,human
ashok,human
(R) ankle strain,complaints
aloxi,medicine
rookmani,human
compro,medicine
hidradenitis suppurativa,diagnosis
sant ram,human
vectical,medicine
prashant kumar,human
44</span> users found this comment helpful.,diagnosis
alok kumar thakur,human
"pramod mishra s/o devi prasad mishra r/o 330, j bl",human
jagdish kaliya,human
clorazepate,medicine
jankraj sharma,human
rohit arora,human
alpha-1 proteinase inhibitor deficiency,diagnosis
rejection prophylaxis,diagnosis
tenex,medicine
sumit yadav,human
mohd.mujefir,human
manoj,human
pemphigus,diagnosis
dev kumar singh,human
gurbachan singh s/o darshan singh,human
shabbir,human
kali charan sain,human
karmveer singh,human
mr. kishan lal,human
abdul rajik,human
rambabu,human
gaurav gupta,human
ajab singh,human
chander prakash,human
mohd. shokat,human
No back pain only ant. thigh pain,complaints
psorcon,medicine
poonam,human
crizotinib,medicine
banwari,human
arun singh,human
vivarin,medicine
vitamin k deficiency,diagnosis
virpal,human
tylox,medicine
akhtar,human
mujaffar,human
ghasiram koli,human
septra,medicine
phenergan,medicine
142</span> users found this comment helpful.,diagnosis
rampal,human
sandeep kumar sharma,human
cenestin,medicine
saw palmetto,medicine
dolgic plus,medicine
deepa,human
ram bharose,human
acamprosate,medicine
guljar,human
sunny,human
phenylephrine / pyrilamine,medicine
shambhu lal,human
dushyant kumar,human
najrin,human
tashnim,human
pembrolizumab,medicine
md. arman,human
sanjeev ray,human
moban,medicine
deepak dhanpal,human
plegridy,medicine
ashik pathak,human
netram,human
jitu,human
nephrotic syndrome,diagnosis
allaraji,human
raheesh,human
gorav kumar,human
cns magnetic resonance imaging,diagnosis
akash malik,human
vipul kumar,human
amit kumar verma,human
liquid co-q10,medicine
saksham,human
kamlesh kumar urf sonu s/o harish,human
pentosan polysulfate sodium,medicine
ashok babu,human
mandelamine,medicine
caffeine,medicine
kiran kumar,human
virender singh,human
psyllium,medicine
ram kishore,human
umashankar khanduri,human
suraj bhatia,human
veramyst,medicine
mulation) (phenylephrine),diagnosis
ghan shyam,human
tussionex pennkinetic,medicine
sansaar singh,human
levomilnacipran,medicine
tuka ram,human
maman singh,human
tushar vats,human
dhawal sreshta soni,human
breakthrough pain,diagnosis
vidaza,medicine
shaubha ram,human
rambhajan,human
nitish kumar,human
F/48years,human
shahbaz,human
nahar singh,human
mohit kumar,human
harender,human
sunil kumar gupta,human
md aalam,human
pyrantel,medicine
mushrraf,human
shankar verma,human
swarn,human
Radicular Pain,diagnosis
adalat,human
sandeep sahu,human
sagar shekh,human
ahsan khan,human
secobarbital,medicine
arava,medicine
arun kumar jain,human
naproxen,medicine
sukkhu,human
kanhaiyalal,human
wajuddin,human
santi,human
anmol,human
cleocin,medicine
rajnish kumar,human
mohan sharma,human
saleem qureshi,human
dhan singh,human
ungal infection prophylaxis,diagnosis
lactobacillus acidophilus,medicine
inderal la,medicine
krishan kishore,human
maan singh,human
lekhraj pahuja,human
bhim singh,human
piperonyl butoxide / pyrethrins,medicine
"devender singh s/o shrinath r/o kh. no. 72/1, utsa",human
nagaji,human
ketotifen,medicine
amzad khan,human
bhupendra singh rawat,human
sujata yadav,human
polycythemia vera,diagnosis
shyam sundra,human
anish khan,human
feverall,medicine
eluxadoline,medicine
jaswant giri,human
mephyton,medicine
moh0 umar,human
mohd siraz s/o mohd nisar,human
allegra-d 24 hour,medicine
tylenol,medicine
namenda,medicine
bablu khan,human
diwan singh,human
saranjeet singh,human
incruse ellipta,medicine
sirajuddin,human
anil urf rakesh,human
wegener's granulomatosis,diagnosis
randhir singh parmar,human
md irfhan,human
abdul samad,human
rijwan,human
remicade,medicine
singulair,medicine
meloxicam,medicine
nimodipine,medicine
mohammad ali,human
my way,medicine
jai kumar,human
xanax,medicine
epiduo forte,medicine
aditi,human
gobind,human
kavilash,human
aristocort,medicine
nortriptyline,medicine
givinda,human
sumit verma,human
peripheral arterial disease,diagnosis
abilify discmelt,medicine
gaffar ali,human
deepak rathore,human
pelvic inflammatory disease,diagnosis
pachuram  verma,human
babar ali khan,human
parathyroid hormone,medicine
kaushal,human
benazepril,medicine
shayam kishor singh,human
sujeet gupta,human
bhola nath,human
ram bahadur,human
mucinex maximum strength,medicine
shah mohd,human
smz-tmp ds,medicine
amnesteem,medicine
patav,human
biotene mouthwash,medicine
behcet's disease,diagnosis
pancreaze,medicine
ibromyalgia,diagnosis
mohd. lookman,human
mohit lakra,human
ravinder singh rana,human
bhagwan dass,human
alka-seltzer cold and sinus,medicine
manjeet kaur,human
gopal dass,human
upendra kumar,human
muhmad aarif s/o mu.hashin appar bhktiyana srinaga,human
succinylcholine,medicine
manoj kumar rajhans,human
mo vahid,human
vivek chabra,human
ipratropium,medicine
fluvastatin,medicine
guaifenesin / pseudoephedrine,medicine
parmod s/o  ganga shran,human
rajpal sharma s/o mahadev prasad,human
satnam singh,human
dheeraj,human
epilepsy,diagnosis
durgesh,human
Suwanbri Salve,human
rudhra pratap,human
samon,human
rohit kumar yadav,human
avita,medicine
kuldeep gupta,human
rajiv,human
ivabradine,medicine
aashif,human
vimal nepali,human
nazeem,human
arun kumar tiwari,human
ajay manjhi,human
cordran tape,medicine
spondylolisthesis,diagnosis
jai pal,human
duodenal ulcer prophylaxis,diagnosis
monish,human
plan b,medicine
nocturnal leg cramps,diagnosis
dramamine ii,medicine
dhanu /dhanparkesh,human
ashutosh,human
sanjay kumar,human
antabuse,medicine
sundar pal,human
madanlal,human
rohit agrawal,human
sarjeet,human
naroo orf narayan,human
jaidul ali sekh,human
l-methylfolate,medicine
akash,human
ratneshwar roy,human
amit singh,human
sahadeb bhuniya,human
jeeshan khan,human
nsaid-induced gastric ulce,diagnosis
saidas,human
dund kishan,human
rinkoo,human
inderjeet kumar,human
chandra sekhar,human
netra singh,human
leukocytoclastic vasculitis,diagnosis
ved prakash,human
sanjay kumar tripathi,human
sarvash prashad,human
simethicone,medicine
dilkush,human
mobic,medicine
saurabh kumar,human
numesh kumar,human
rashid ali,human
mahesh saini,human
chand kumar,human
raju kumar,human
depo-provera,medicine
ajay chorasiya,human
zovirax cream,medicine
md. waseem,human
vimpat,medicine
vesanoid,medicine
dana ram,human
cystic fibrosis,diagnosis
mr. himmat singh,human
dhirender,human
kali charan,human
zanmi,human
trulance,medicine
anurag singh alias banti,human
llicular lymphoma,diagnosis
mubashir ali,human
navane,medicine
truvada,medicine
harprasad sahu,human
pharyngitis,diagnosis
mohak kaul,human
clearlax,medicine
"prosthetic heart valves, mechanical valves - thrombosis prophylaxis",diagnosis
oppositional defiant disorde,diagnosis
latur s/o gopal koli,human
pawan kumar,human
jasveer singh,human
babbu,human
lokindra singh,human
Priti Gawande,human
sudhir gupta,human
riyazuddin,human
bronchospasm prophylaxis,diagnosis
buhan chandara,human
hydroxychloroquine,medicine
vishal,human
manjiv singh,human
chandu paswan,human
badrudeen,human
vishal chaudhary,human
gopal singh hada,human
pritam kaur,human
kunod kumar ray,human
punnet,human
aamin,human
cloderm,medicine
